type,entry_time,exittime,Entryvalue,exitvalue,entry,lot_size,pips,PnL,Equity,exit_type,SP,dd,per_dd,ContractName,BasketID,commision,MarginRequired,Duration
CE,2020-01-16 11:00:00,2020-01-17 09:15:00,43.35,25.4,Long,1,-17.950000000000003,-329.25000000000006,501514.25,Adj,UP,-347.25000000000006,0.06919487848303307,BANKNIFTY3260023JAN20CE,3,60,650.25,0 days 22:15:00
PE,2020-01-16 13:58:00,2020-01-20 14:24:00,126.85,505.4,Short,1,-378.54999999999995,-5738.249999999999,495776.0,SL,31900,-5716.5,1.1398479704215783,BANKNIFTY3160023JAN20PE,3,60,1902.75,4 days 00:26:00
CE,2020-01-17 09:15:00,2020-01-20 14:24:00,230.0,71.0,Short,1,159.0,2325.0,498101.0,SL,31900,-5716.5,1.153040889433938,BANKNIFTY3170023JAN20CE,3,60,3450.0,3 days 05:09:00
CE,2020-01-17 09:15:00,2020-01-20 14:24:00,70.05,19.45,Long,1,-50.599999999999994,-818.9999999999999,497282.0,SL,31900,-762.7499999999999,0.15313159379322663,BANKNIFTY3220023JAN20CE,3,60,1050.75,3 days 05:09:00
PE,2020-01-16 13:58:00,2020-01-20 14:24:00,43.05,193.55,Long,1,150.5,2197.5,499479.5,SL,31900,-165.0,0.03318036848307399,BANKNIFTY3110023JAN20PE,3,60,645.75,4 days 00:26:00
CE,2020-01-30 10:00:00,2020-02-01 13:18:00,94.0,63.15,Short,1,30.85,402.75,499882.25,Adj,30700,-974.2499999999998,0.1950530502252845,BANKNIFTY3200006FEB20CE,5,60,1410.0,2 days 03:18:00
CE,2020-01-30 10:00:00,2020-02-01 13:18:00,30.0,24.65,Long,1,-5.350000000000001,-140.25000000000003,499742.0,Adj,UP,-99.00000000000003,0.01980466399837162,BANKNIFTY3270006FEB20CE,5,60,450.0,2 days 03:18:00
CE,2020-02-01 13:18:00,2020-02-01 13:27:00,118.7,60.05,Short,1,58.650000000000006,819.7500000000001,500561.75,Adj,30700,-6.750000000000043,0.0013506969596311783,BANKNIFTY3160006FEB20CE,5,60,1780.5,0 days 00:09:00
CE,2020-02-01 13:18:00,2020-02-01 13:27:00,40.8,18.6,Long,1,-22.199999999999996,-392.99999999999994,500168.75,Adj,UP,-332.99999999999994,0.06652525887165768,BANKNIFTY3240006FEB20CE,5,60,612.0,0 days 00:09:00
CE,2020-02-01 13:27:00,2020-02-01 13:43:00,158.9,90.6,Short,1,68.30000000000001,964.5000000000002,501133.25,Adj,30700,-8.249999999999744,0.001649443312881851,BANKNIFTY3110006FEB20CE,5,60,2383.5,0 days 00:16:00
